Source,site,Domaine,Categorie 1,Lien_Categorie2 ,Categorie 2,Lien_Categorie3 ,Categorie 3,Nom_Produit,Lien_Produit,Description_Produit,Prix_Produit,Prix_Avant_Promos_Produit,Promo_Produit,Reference_Produit,Marque_Produit
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine GUERRES & histoire,https://www.mytek.tn/magazine-guerres-histoire.html,"Magazine GUERRES & histoire -  Numéro: Titre 71 - Genre: Histoire - Longue: française -  12 ans d’existence - Magazine bimestriel sur l'histoire militaire.

","24,000 DT",none,NON,17103,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine GEO HISTOIRE,https://www.mytek.tn/magazine-geo-histoire-pompei-la-splendeur-retrouvee-numero-66.html,"Magazine GEO HISTOIRE POMPEI : la splendeur retrouvée -  Numéro: Titre 66 - Genre: Histoire - Longue: française -  43 ans d’existence - Geo ou Géo est un magazine mensuel de voyage et de connaissance du monde dont l'édition française est publiée par Prisma Media (auparavant Prisma Presse). Il accorde une large place aux reportages photographiques.

","28,000 DT",none,NON,15170,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine Cosmopolitan,https://www.mytek.tn/magazine-cosmopolitan.html,"Magazine  Cosmopolitan: Le plus tonique et le plus insolent des grands magazines féminins -  Numéro: Titre 586 - Genre: Mode - Longue: française  - Chaque mois -  Cosmopolitan est plus Cosmo que jamais quand il s’adresse, avec impertinence, aux jeunes femmes d’aujourd’hui à la fois hédonistes, réalistes et toniques.Cosmopolitan met en scène une jeune femme qui participe pleinement aux évolutions et tendances de la société actuelle mais tout en privilégiant l’analyse psychologique des comportements.

","7,000 DT",none,NON,13308,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine ELLE,https://www.mytek.tn/magazine-elle-carla-briuni-nous-a-dit-aimer-chanter-desirer-numero-4013.html,"Magazine ELLE CARLA BRIUNI: Beauté: Nos 23 produits préférés -  Numéro: Titre 4015 - Genre: Actualité Féminin - Beaute - People - Culture - Société - Elle à table - Elle déco - Astro  - Longue: française -  77 ans d’existence -  ELLE  est un magazine hebdomadaire français féminin et de société fondé en 1945 par Hélène Lazareff - le Magasine feminin de la mode , de la beauté et de toute l'actualité des femme.

","11,000 DT",none,NON,14149,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine Cosmopolitan,https://www.mytek.tn/magazine-cosmopolitan.html,"Magazine  Cosmopolitan: Le plus tonique et le plus insolent des grands magazines féminins -  Numéro: Titre 586 - Genre: Mode - Longue: française  - Chaque mois -  Cosmopolitan est plus Cosmo que jamais quand il s’adresse, avec impertinence, aux jeunes femmes d’aujourd’hui à la fois hédonistes, réalistes et toniques.Cosmopolitan met en scène une jeune femme qui participe pleinement aux évolutions et tendances de la société actuelle mais tout en privilégiant l’analyse psychologique des comportements.

","7,000 DT",none,NON,13308,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine ELLE,https://www.mytek.tn/magazine-elle-carla-briuni-nous-a-dit-aimer-chanter-desirer-numero-4013.html,"Magazine ELLE CARLA BRIUNI: Beauté: Nos 23 produits préférés -  Numéro: Titre 4015 - Genre: Actualité Féminin - Beaute - People - Culture - Société - Elle à table - Elle déco - Astro  - Longue: française -  77 ans d’existence -  ELLE  est un magazine hebdomadaire français féminin et de société fondé en 1945 par Hélène Lazareff - le Magasine feminin de la mode , de la beauté et de toute l'actualité des femme.

","11,000 DT",none,NON,14149,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine PRIMA,https://www.mytek.tn/magazine-prima.html,"Magazine PRIMA: ASTRO/ Vos atouts pour 2023 -  Numéro: Titre 484 - Genre: Presse féminine - Longue: française - 35 ans d’existence - Prima, l'instant plaisir des femmes créatives, présente des univers inspirants et une multitude d'idées à faire soi-même. La rédaction partage des idées qui font du bien, qui simplifient le quotidien et donne plus de place aux sujets autour du ""slow life"" et de l'épanouissement personnel. Bien-sûr, la cuisine et le home-made ont toujours la part belle, car on sait que la créativité est moins une affaire de talent, qu'une façon de personnaliser sa vie. Pétillante, complice, l'humeur de Prima est au beau fixe !

","5,500 DT",none,NON,14334,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine Femme Actuelle: Vivement Noël,https://www.mytek.tn/magazine-femme-actuelle-mieux-dormir-j-ose-recettes-effet-waouh-numero-1990.html,"Magazine Femme Actuelle: Mieux dormir/ J'ose!/ Recettes effet waouh ... -  Numéro: Titre 1993 - Genre: Actualité féminine - Longue: française - 35 ans d’existence -  Femme Actuelle est le coach complice et divertissant des femmes pour mieux vivre au quotidien. Femme Actuelle, ce sont des thématiques qui parlent à toutes les femmes, des conseils en phase avec leurs attentes, un ton complice, positif et bienveillant, des contenus inspirants et une relation intime avec ses lectrices.

","6,200 DT",none,NON,12291,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine Marie France,https://www.mytek.tn/magazine-marie-france.html,"Magazine Marie France: la clé de votre équilibre - Genre: Actualité Féminin  - Longue: française -  Marie France, le magazine proche des femmes et de leurs attentes - Marie France s'intéresse aussi bien à la beauté, la mode, la santé/forme, la psycho, qu'à la culture, la déco,la cuisine ou l'évasion.Conseils, proximité, sincérité, marie france pose un regard vrai sur la société contemporaine

","8,000 DT",none,NON,18952,Sans-Fabricant
MyTEK,https://www.mytek.tn/,https://www.mytek.tn/bureautique.html,Bureautique,https://www.mytek.tn/bureautique/magazine.html,Magazine,https://www.mytek.tn/bureautique/magazine/loisirs/jeux-de-mots-croises-fleches.html,Jeux de mots croisés et fléchés,Magazine Femme Actuelle Hors-série,https://www.mytek.tn/magazine-femme-actuelle-hors-serie-140-recettes-de-fetes-numero-202.html,"Magazine Femme Actuelle Hors-série:140 recettes de fêtes-  Numéro: Titre 202 - Genre: Presse féminine - Longue: française - 35 ans d’existence -  Femme Actuelle est le coach complice et divertissant des femmes pour mieux vivre au quotidien. Femme Actuelle, ce sont des thématiques qui parlent à toutes les femmes, des conseils en phase avec leurs attentes, un ton complice, positif et bienveillant, des contenus inspirants et une relation intime avec ses lectrices.

","12,500 DT",none,NON,16139,Sans-Fabricant
